current_date,amount_in_bank
2023-12-20 00:00:00,1883247.24
2023-12-21 00:00:00,1885524.24
2023-12-22 00:00:00,1888848.24
2023-12-23 00:00:00,1893439.24
2023-12-24 00:00:00,1898333.24
2023-12-25 00:00:00,1902098.24
2023-12-26 00:00:00,1904230.24
2023-12-27 00:00:00,1907028.24
2023-12-28 00:00:00,1909419.24
2023-12-29 00:00:00,1911205.24
2023-12-30 00:00:00,1914948.24
2023-12-31 00:00:00,1918956.24
